Date,Open,High,Low,Close,Volume,Close
2014/10/30,14.75,14.85,14.4,14.55,525000,14.55
2014/10/31,14.45,14.8,14.2,14.45,849000,14.45
2014/11/3,14.2,14.35,13.45,13.45,1547000,13.45
2014/11/4,12.55,13.3,12.55,12.9,2288000,12.9
2014/11/5,12.9,12.9,12.1,12.6,1654000,12.6
2014/11/6,12.6,13.45,12.5,13.45,1119000,13.45
2014/11/7,13.55,14.1,13.3,13.55,1790000,13.55
2014/11/10,13.55,13.65,13.15,13.25,614000,13.25
2014/11/11,12.6,13,12.4,12.8,1673000,12.8
2014/11/12,12.55,12.9,12.55,12.7,303000,12.7
2014/11/13,12.65,12.8,12.55,12.6,144000,12.6
2014/11/14,12.45,12.7,12.45,12.5,424000,12.5
2014/11/17,12.3,12.45,11.9,12.25,530000,12.25
2014/11/18,11.9,12.05,11.7,11.7,653000,11.7
2014/11/19,11.7,11.7,10.9,10.9,2840000,10.9
2014/11/20,11,11.6,10.8,11.2,1432000,11.2
2014/11/21,11.3,11.4,11.1,11.1,624000,11.1
2014/11/24,11.1,11.3,11.05,11.1,339000,11.1
2014/11/25,11.1,11.2,11.1,11.15,316000,11.15
2014/11/26,11.2,11.4,11.1,11.1,168000,11.1
2014/11/27,11.1,11.3,11.1,11.1,258000,11.1
2014/11/28,11.15,11.35,11.1,11.15,98000,11.15
2014/12/1,10.5,11.1,10.5,11.05,259000,11.05
2014/12/2,10.9,11.05,10.6,10.75,384000,10.75
2014/12/3,10.75,11.1,10.75,11,392000,11
2014/12/4,11.5,11.65,11,11.35,377000,11.35
2014/12/5,11.3,11.4,11.2,11.4,170000,11.4
2014/12/8,11.35,11.6,11.2,11.25,248000,11.25
2014/12/9,11.1,11.4,11.1,11.2,111000,11.2
2014/12/10,11.2,11.2,10.95,11.1,162000,11.1
2014/12/11,10.95,11.1,10.9,11.05,130000,11.05
2014/12/12,11.05,11.25,10.85,10.95,160000,10.95
2014/12/15,10.9,11.7,10.7,11.7,747000,11.7
2014/12/16,11.7,12,11.5,11.85,463000,11.85
2014/12/17,12.1,12.1,11.7,11.7,129000,11.7
2014/12/18,11.7,11.8,11.5,11.5,63000,11.5
2014/12/19,11.5,12.15,11.5,11.7,286000,11.7
2014/12/22,11.7,12.5,11.7,12.5,739000,12.5
2014/12/23,12.5,12.85,12.4,12.55,604000,12.55
2014/12/24,12.5,12.9,12.5,12.7,299000,12.7
2014/12/25,12.55,13.55,12.55,13.55,717000,13.55
2014/12/26,13.75,14.3,13.6,13.8,841000,13.8
2014/12/29,13.4,13.7,13.3,13.35,229000,13.35
2014/12/30,13.3,13.5,13.2,13.3,96000,13.3
2014/12/31,13.1,13.3,12.9,12.95,239000,12.95
2015/1/1,12.95,12.95,12.95,12.95,0,12.95
2015/1/2,12.95,12.95,12.95,12.95,0,12.95
2015/1/5,12.95,13.05,12.65,12.75,135000,12.75
2015/1/6,12.65,12.65,12.3,12.4,156000,12.4
2015/1/7,12.4,12.8,12.35,12.75,118000,12.75
2015/1/8,13,13,12.8,12.95,203000,12.95
2015/1/9,13.05,13.2,12.85,13.2,146000,13.2
2015/1/12,13.1,13.35,13,13.35,240000,13.35
2015/1/13,13.25,13.45,13.2,13.35,83000,13.35
2015/1/14,13.4,13.4,13,13,224000,13
2015/1/15,12.95,13.1,12.8,12.8,149000,12.8
2015/1/16,12.5,12.95,12.5,12.75,71000,12.75
2015/1/19,12.7,12.85,12.5,12.8,67000,12.8
2015/1/20,12.8,12.85,12.6,12.7,63000,12.7
2015/1/21,12.75,12.75,12.35,12.4,80000,12.4
2015/1/22,12.6,12.6,12.45,12.5,36000,12.5
2015/1/23,12.5,12.55,12.5,12.55,42000,12.55
2015/1/26,12.4,12.6,12.35,12.4,108000,12.4
2015/1/27,12.4,13.25,12.4,13.25,496000,13.25
2015/1/28,13.6,13.65,13.3,13.45,424000,13.45
2015/1/29,13.4,13.65,13,13.05,198000,13.05
2015/1/30,13.3,13.5,13.15,13.5,294000,13.5
2015/2/2,14.15,14.4,13.8,14.4,861000,14.4
2015/2/3,15.4,15.4,15,15.4,1140000,15.4
2015/2/4,16.45,16.45,16.45,16.45,778000,16.45
